"sp_rich","family_rich","one_area","lon","lat"
8167,236,"NIC",-85.03470963,12.839712
5560,199,"DOM",-70.48543965,18.89309066
5214,196,"HAI",-72.68384348,18.93893862
5495,221,"CHH",109.74200976,19.20103622
7285,219,"LAO",103.76341319,18.50244319
14410,257,"THA",101.01490759,15.11989715
11081,208,"BZS",-52.26177998,-27.56814167
3941,165,"URU",-56.01217767,-32.7995689
9168,236,"ASS",92.85194548,25.48271621
12147,235,"PHI",122.87363203,11.74740395
1032,89,"GAL",-90.89331316,-0.56223084
6333,226,"BAN",90.27093153,23.83299498
7909,222,"JAW",110.07670308,-7.28863437
4798,212,"LSI",123.08090575,-8.63369463
5787,134,"ALG",2.63236233,28.16335451
6700,221,"TAI",120.95940178,23.74833248
5970,132,"LBS",38.37255385,34.95744231
4382,126,"PAL",36.37619652,31.30791811
3465,115,"EAI",26.7956822,37.77924815
11139,149,"IRN",54.30142285,32.56479713
7380,186,"PAR",-58.39095073,-23.23612804
4332,120,"SIC",14.14647287,37.56596762
5244,106,"KGZ",74.55549193,41.4649087
4523,126,"POR",-7.96236769,39.69200296
5790,143,"ARI",-111.65759631,34.29669616
4912,198,"MOL",127.99049954,-1.42061875
3601,158,"OKL",-97.50981445,35.58437196
5500,140,"NWM",-106.10768765,34.42306424
3619,184,"PUE",-66.46614558,18.2209154
3063,138,"ERI",38.85291013,15.35884128
7715,188,"ETH",39.6160194,8.62614058
4618,150,"SOM",45.86255319,6.06370579
6325,198,"SUD",30.08706657,13.8872033
3377,125,"SAU",44.58510242,24.02338171
3340,136,"YEM",47.5687601,15.83691322
2530,134,"IOW",-93.49640075,42.07863115
2824,139,"KAN",-98.36925056,38.48363463
3304,149,"MSO",-92.49049605,38.37437865
2403,122,"NEB",-99.79214758,41.52790501
4700,122,"NEV",-116.6521158,39.35827473
10083,239,"MXC",-98.58581435,19.13108596
10655,252,"MXG",-96.405429,19.37738436
9770,209,"MXN",-111.37898581,28.49122261
3055,140,"AGS",-68.83039105,-44.42958738
4248,155,"CLC",-71.50360801,-34.96793939
2526,101,"CLN",-69.43770693,-23.86911699
526,83,"MXI",-115.55971857,24.96193755
8349,185,"CHN",109.45486901,37.42761072
5042,172,"KOR",127.46092258,38.51116984
8138,192,"NSW",147.01878749,-32.18031229
5625,173,"NTA",133.36521379,-19.41428342
11096,235,"QLD",144.54819334,-22.57373243
4462,123,"SOA",135.82671616,-30.10453814
4711,143,"VIC",144.30785689,-36.85746645
12054,254,"MXT",-90.55872947,18.50799061
2065,125,"CLS",-72.52704616,-48.21628617
6859,176,"PAK",68.78919432,29.35662229
20544,194,"CPP",22.53403917,-30.90217923
3929,144,"OFS",26.86433218,-28.61014393
7396,197,"NAT",30.72508497,-28.7085677
2504,121,"LES",28.24284307,-29.5810053
7839,195,"TVL",28.07826685,-25.2657105
4163,171,"SWZ",31.49719338,-26.56211579
1206,97,"PEI",-63.24493638,46.39620383
2128,137,"RHO",-71.55994566,41.68389685
2785,148,"WVA",-80.61195464,38.64123998
3879,167,"VRG",-78.82589678,37.52180057
5443,209,"SRL",80.70426571,7.61235709
4457,194,"JAM",-77.31974834,18.15132857
6588,218,"SUL",121.29483012,-2.10406842
1737,132,"CRL",146.71147816,7.21239488
13497,173,"WAU",122.17821088,-25.46606467
14570,221,"MDG",46.70598974,-19.37352737
2964,157,"AND",92.78132302,12.27997875
5853,215,"CBD",104.92124023,12.71403151
6435,127,"BUL",25.2313767,42.76135302
2498,83,"YAK",130.11579275,66.17394158
13163,222,"ZAI",23.6544568,-2.87623132
14004,228,"TAN",34.8234036,-6.27019678
8225,207,"MOZ",35.55224706,-17.26020232
7171,195,"MLW",34.30698695,-13.21511579
9082,197,"ZAM",27.79788138,-13.45307891
9554,207,"KEN",37.85786204,0.52977986
7974,198,"ZIM",29.87176247,-19.00000691
3904,148,"BOT",23.81507477,-22.18204586
3677,152,"BEN",2.34325993,9.64765272
2811,139,"BKN",-1.73983427,12.27792187
4830,178,"GHA",-1.20705013,7.9596393
4579,174,"GUI",-10.94184026,10.43853956
5586,180,"IVO",-5.55550501,7.63171961
4108,162,"LBR",-9.30785074,6.44811663
2989,149,"MLI",-3.52435208,17.35036278
1731,106,"MTN",-10.33225759,20.25990345
1790,119,"NGR",9.39765057,17.42632347
7022,203,"NGA",8.10531839,9.59362459
3370,161,"SEN",-14.46817708,14.36697739
3211,148,"TOG",0.97583446,8.53493023
4420,170,"BUR",29.88681075,-3.35630423
9840,202,"CMN",12.74325047,5.68579633
5489,178,"CAF",20.48276784,6.57144769
5767,178,"CON",15.22427245,-0.84007475
6975,186,"GAB",11.7971526,-0.59067563
3099,156,"GGI",7.97624414,2.36940554
1373,99,"DJI",42.57794604,11.7498223
1301,98,"SOC",53.78351902,12.49162925
7258,197,"UGA",32.38624065,1.28008216
8920,216,"ANG",17.57181504,-12.33576219
2205,126,"EQG",10.47599001,1.56792182
5561,153,"NAM",17.07189693,-22.23553957
4962,105,"UZB",63.16950908,41.7504206
2702,102,"CNY",-15.67748558,28.33813027
1792,136,"BAH",-76.5004385,24.16668291
1007,102,"CAY",-80.82909682,19.431525
851,94,"NLA",-68.69280777,12.18787645
3901,172,"TRT",-61.25263723,10.46836428
723,90,"TCI",-71.88207917,21.80869292
5784,107,"TZK",71.04218428,38.52781578
4487,178,"NWC",165.67184978,-21.29461419
3872,93,"TKM",59.38352408,39.12222048
6419,133,"AFG",66.02653864,33.83890296
1003,80,"AZO",-27.06916207,38.27062439
2745,112,"CYP",33.21867825,35.04300313
2466,148,"FIJ",160.79163691,-17.46392685
118,32,"NRU",166.9300834,-0.52207331
412,68,"NUE",-169.86858677,-19.05190358
1469,116,"SAM",-172.03192878,-13.79663847
936,104,"TON",-174.82453185,-19.98207654
1698,134,"VAN",167.7055728,-16.2021541
587,80,"WAL",-177.14397092,-13.78426598
552,84,"COO",-158.79191222,-20.68746737
236,54,"PIT",-128.44279001,-24.505797
977,88,"SCI",-149.88325562,-17.45187798
300,57,"TUA",-145.26549416,-16.02348622
658,81,"TUB",-150.06860542,-23.09392209
861,103,"MRN",145.19641937,14.90032954
252,51,"MRS",168.61039428,8.42167996
5292,206,"BLZ",-88.68282364,17.21850521
6772,189,"FRG",-53.24126852,3.92438285
6265,190,"SUR",-55.91158943,4.12670757
7140,116,"KAZ",67.30130123,48.16004423
4101,166,"RWA",29.91719523,-1.99798731
405,55,"JNF",-79.537658,-33.66269944
3296,103,"CHQ",96.04684807,35.77342914
1506,104,"CAB",12.46228731,-5.04122958
1883,148,"COM",43.9794997,-12.0850888
6724,131,"MOR",-6.31754552,31.88413167
1428,112,"GAM",-15.38562696,13.4529394
2393,142,"GNB",-14.98748338,12.01619646
4128,166,"SIE",-11.79209994,8.56034578
3438,146,"CHA",18.66460375,15.3611377
1098,94,"CPV",23.25700383,-17.92034393
2558,105,"BAL",2.90006856,39.55938907
3459,121,"SAR",9.030029,40.09088088
3939,119,"TUN",9.56155572,34.11124296
3263,115,"KRI",24.94808966,35.24379018
5732,126,"ALB",20.06837242,41.14254637
3730,119,"TUE",27.29964162,41.26119862
3712,108,"KRY",34.3248095,45.27482524
3478,107,"RUS",44.67469326,48.91779832
2993,113,"LBY",18.02318175,27.04405009
2227,109,"OMA",56.11008523,20.60235556
2364,147,"DEL",-75.51281006,38.99814067
4705,201,"FLA",-82.48405094,28.65142195
3257,153,"KTY",-85.28771942,37.52748969
3550,179,"LOU",-92.01956256,31.07581713
3057,154,"MRY",-76.79724029,39.04679397
