"","n_points","one_area","lon","lat"
"1",279,"ABT",-114.510958568539,55.1684723807867
"2",83,"AFG",66.0265386412317,33.8389029584524
"3",359,"AGE",-61.2580494710071,-32.6006442730187
"4",179,"AGS",-68.8774552299484,-44.0978424141613
"5",439,"AGW",-66.361195637048,-29.1495922323319
"6",220,"ALA",-86.8286159791812,32.79475014493
"7",32,"ALB",20.0683724218817,41.1425463651034
"8",94,"ALG",2.6323623281518,28.1633545039387
"9",55,"ALT",84.1307323760221,51.9681623933529
"10",9,"ALU",-166.881541410824,53.6695308340704
"11",6,"AMU",127.725448712213,53.3999227911698
"12",3,"AND",92.8911524603031,12.8593029807763
"13",95,"ANG",17.5723791326654,-12.3353479160884
"14",1319,"ARI",-111.657596311162,34.296696160239
"15",190,"ARK",-92.4423574860374,34.9008434728857
"16",2,"ARU",-69.9771331341252,12.5166873647665
"17",127,"ASK",-153.144198960678,64.7199447009562
"18",22,"ASS",92.8519454786523,25.4827162021944
"19",529,"AUT",14.1304950058485,47.5920478023901
"20",10,"AZO",-25.4853740437781,37.7980369686353
"21",21,"BAH",-78.0402285043353,24.7011427206852
"22",162,"BAL",2.96507749030632,39.6050279498581
"23",14,"BAN",90.253375990773,23.8755651977545
"24",28,"BEN",2.34325993091846,9.64765271576535
"25",1,"BER",-64.7526512270832,32.3092866892349
"26",417,"BGM",4.7731525290163,50.576268003232
"27",27,"BKN",-1.73983426861345,12.2779218603589
"28",98,"BLR",28.0469657134402,53.5402220978746
"29",293,"BLT",24.5506084452662,56.6261457652618
"30",97,"BLZ",-88.6967316731952,17.2094672937152
"31",340,"BOL",-64.6705398631343,-16.7151134545928
"32",43,"BOR",114.213742147339,0.860675432136752
"33",61,"BOT",23.8150747669626,-22.1820458629888
"34",420,"BRC",-124.587706605378,54.9749930391519
"35",11,"BRY",109.50254109567,53.5544605906404
"36",99,"BUL",25.2313766968894,42.7613530162318
"37",9,"BUR",29.8868107489339,-3.35630423392434
"38",305,"BZC",-54.2944268549755,-15.2979918057715
"39",257,"BZE",-41.729245267235,-8.63740446390338
"40",542,"BZL",-45.4812468781928,-19.7215022749436
"41",452,"BZN",-59.3875028696185,-4.68763311025493
"42",512,"BZS",-52.2673219419795,-27.5691993264811
"43",22,"CAF",20.4827678380325,6.57144768126955
"44",1672,"CAL",-119.588035863053,37.2487348380913
"45",1,"CAY",-81.2392953520222,19.3081219202428
"46",16,"CBD",104.923844147317,12.7165238892982
"47",1,"CGS",72.4333572134483,-7.32758306062606
"48",2,"CHA",18.6646037470627,15.3611376971534
"49",78,"CHC",104.640891032109,28.5173689628768
"50",9,"CHH",109.741984810455,19.2010382935473
"51",16,"CHI",113.554835271425,43.7969759236067
"52",11,"CHM",126.499794743927,45.7529296940186
"53",96,"CHN",109.454869014577,37.4276107124697
"54",3,"CHQ",96.046848071752,35.7734291360749
"55",103,"CHS",114.414205892508,28.09461443501
"56",7,"CHT",88.1184165369773,31.7123009975077
"57",9,"CHX",85.250962079391,41.1231666604256
"58",291,"CLC",-71.5036080057133,-34.9679393920644
"59",359,"CLM",-73.071974093208,3.90042495492076
"60",216,"CLN",-69.4377069302331,-23.8691169971086
"61",81,"CLS",-72.7755401437487,-46.8500798444898
"62",25,"CMN",12.7433323278469,5.68585240080611
"63",406,"CNT",-72.727580952981,41.6257430845081
"64",106,"CNY",-16.5531263426661,28.2787968682106
"65",850,"COL",-105.533703867672,38.9991465282603
"66",2,"COM",43.3416211163706,-11.6662720501722
"67",5,"CON",15.224272450812,-0.840074753921297
"68",1,"COO",-159.787535907896,-21.22240220213
"69",170,"COR",9.10531229559529,42.1581898141404
"70",411,"COS",-84.1881736596486,9.97037495310276
"71",614,"CPP",22.5068998251338,-30.9045010358021
"72",5,"CPV",23.2570038321918,-17.9203439356117
"73",2,"CRL",158.229255162526,6.87903873353735
"74",11,"CTA",116.200825674351,52.8406913987185
"75",3,"CTM",-176.548985967975,-43.9140613565487
