"(Intercept)" "bio1" "bio12" "bio15" "bio16" "bio17" "bio4" "bio5" "bio6" "et0" "prop_bee_angios" "srad" "wind.1" "df" "logLik" "AICc" "delta" "weight"
"213" 0.926160742964306 NA NA -0.00378917793535019 NA -0.00066514434514709 NA -0.000552319763997431 0.000812607048881021 NA NA NA NA 8 23.4401115507601 -27.5313858922178 1.9591872751664 0.00563978019899708
"150" 0.914535980806283 -0.0010372739614389 NA -0.00380349583716917 NA -0.00067449941316237 NA NA 0.00136776061025032 NA NA NA NA 8 23.4298894958834 -27.5109417824645 1.97963138491977 0.0055824237063509
"565" 0.95860969846392 NA NA -0.00440861427396499 NA -0.000673520368709167 -4.11541633359249e-05 NA NA NA 0.581070104620344 NA NA 8 23.3851951877854 -27.4215531662686 2.06902000111567 0.00533841466652475
"1173" 0.917780811182715 NA NA -0.00337611937667627 NA -0.000607187912064386 NA NA 0.000599506335723904 NA NA -9.53057089552718e-06 NA 8 23.3537582839359 -27.3586793585695 2.13189380881478 0.00517320193249255
"181" 0.861610465681746 NA NA -0.00386326544339183 NA -0.000653186156421638 -1.64626555509542e-05 NA 0.000305151961737625 NA NA NA NA 8 23.2762961068117 -27.2037550043212 2.28681816306307 0.00478760194843918
"33" 0.553243264009237 NA NA NA NA NA -1.39192215608668e-05 NA NA NA NA NA NA 5 19.2303618173074 -27.1563758085278 2.33419735885648 0.00467551843180699
"135" 0.67872484232137 NA -6.06404405351139e-05 -0.00201094531736427 NA NA NA NA 0.000618887067038496 NA NA NA NA 7 21.8130110568792 -27.0805675683038 2.41000559908046 0.00450161369320178
"65" 0.400352151703124 NA NA NA NA NA NA 0.000418515872864772 NA NA NA NA NA 5 19.1895313686908 -27.0747149112946 2.4158582560896 0.00448845974850334
"1077" 1.0529560440266 NA NA -0.00404139748732153 NA -0.000653103216751611 -3.07149771915126e-05 NA NA NA NA -6.71763160980403e-06 NA 8 23.1919170991246 -27.0349969889468 2.45557617843747 0.00440020284635539
"2101" 0.966932309035524 NA NA -0.00412256850395946 NA -0.000674534377839679 -2.72836007486128e-05 NA NA NA NA NA -0.0111403413350932 8 23.1820429817146 -27.0152487541269 2.47532441325738 0.00435696852846014
"86" 0.886260719591587 0.00131089542971726 NA -0.00360262709798832 NA -0.000623334705936673 NA -0.00107285086565388 NA NA NA NA NA 8 23.1610766784684 -26.9733161476346 2.51725701974968 0.00426656997823654
"54" 0.86946972190804 0.000219020454669057 NA -0.00392119844020613 NA -0.000647732090268947 -2.33081001708811e-05 NA NA NA NA NA NA 8 23.1553050048927 -26.9617728004831 2.52880036690114 0.00424201565696099
"117" 0.875128469865255 NA NA -0.00398825037722214 NA -0.000651567101642719 -2.80809043407911e-05 0.000184768698428342 NA NA NA NA NA 8 23.1171775254269 -26.8855178415515 2.60505532583279 0.0040833227954302
"55" 0.965249427106438 NA -2.37186958188514e-05 -0.00404862591507193 NA -0.000533068599210202 -3.38690314506521e-05 NA NA NA NA NA NA 8 23.1102335748811 -26.8716299404599 2.61894322692437 0.00405506662215015
"661" 0.743680575911102 NA NA -0.00342827253328154 NA -0.000601330537240239 NA NA 0.000624180682597274 NA 0.21073187325486 NA NA 8 23.0768334857911 -26.8048297622799 2.68574340510432 0.00392186390973931
"131" 0.51165437776215 NA -3.06003119712218e-05 NA NA NA NA NA 0.000480985690521488 NA NA NA NA 6 20.3272395511746 -26.7878124356825 2.70276073170179 0.00388863565471443
"2197" 0.784877544205223 NA NA -0.00346127261723093 NA -0.000615750515492057 NA NA 0.00052473046395559 NA NA NA -0.00610491320628734 8 23.0560485588777 -26.7632599084531 2.72731325893113 0.0038411895645396
"61" 0.953380192291358 NA NA -0.00404038256048813 -2.55693871839591e-05 -0.000622043803181899 -3.21065275735086e-05 NA NA NA NA NA NA 8 23.0508766527719 -26.7529160962415 2.73765707114276 0.0038213745775718
"309" 0.969682030564055 NA NA -0.00411736896067877 NA -0.000667562419225767 -3.03598038696124e-05 NA NA -1.62270012086278e-05 NA NA NA 8 23.0457735870897 -26.742709964877 2.74786320250723 0.00380192352431804
"917" 0.968678687205502 NA NA -0.00406515130501788 NA -0.000750694499651061 NA NA 0.00106732455599497 -0.000154685234932008 0.876479641700269 NA NA 9 24.4924171632586 -26.6991200408028 2.79145312658142 0.00371995721633614
"157" 0.760741782489103 NA NA -0.00346105250682107 1.11337046441929e-05 -0.000624888290578161 NA NA 0.000548779453584421 NA NA NA NA 8 23.0196522563139 -26.6904673033255 2.80010586405874 0.00370389807366151
"151" 0.76141724082778 NA -1.32144295651279e-06 -0.00341031954676465 NA -0.000599194402502756 NA NA 0.000564795357219809 NA NA NA NA 8 23.0126138581951 -26.6763905070878 2.81418266029641 0.00367792009335496
"133" 0.553889486991219 NA NA -0.000960836175323398 NA NA NA NA 0.000362729263834832 NA NA NA NA 6 20.249206073603 -26.6317454805394 2.85882768684488 0.00359672923662383
"5" 0.584950171606442 NA NA -0.000929286097320222 NA NA NA NA NA NA NA NA NA 5 18.9613923568201 -26.6184368875533 2.87213627983098 0.0035728749885193
"21" 0.732334201115491 NA NA -0.00252747440401356 NA -0.000399281798641225 NA NA NA NA NA NA NA 6 20.2262770749667 -26.5858874832668 2.90468568411744 0.0035151981222432
"278" 0.801727427449804 0.00080001901373459 NA -0.00333827609734552 NA -0.000620714875905704 NA NA NA -8.98581906982453e-05 NA NA NA 8 22.9578009475695 -26.5667646858366 2.92380848154762 0.00348174808085938
"145" 0.495206722088604 NA NA NA NA -0.0001634421628872 NA NA 0.000404349715238286 NA NA NA NA 6 20.2064491209153 -26.546231575164 2.94434159222025 0.00344618538706684
"2049" 0.558152083591756 NA NA NA NA NA NA NA NA NA NA NA -0.0146671686838863 5 18.8765197773449 -26.4486917286028 3.04188143878144 0.00328214775393154
"137" 0.514104120297572 NA NA NA -6.80287778481279e-05 NA NA NA 0.000469495282443756 NA NA NA NA 6 20.1576082471039 -26.4485498275411 3.04202333984313 0.00328191489206703
"1153" 0.65461152995491 NA NA NA NA NA NA NA 0.000395802246513698 NA NA -1.00752022146541e-05 NA 6 20.1479362597116 -26.4292058527565 3.06136731462777 0.00325032526610039
"4" 0.445892994477765 0.000560054244464377 -2.63427875662508e-05 NA NA NA NA NA NA NA NA NA NA 6 20.1070973803219 -26.3475280939771 3.14304507340715 0.00312025956983614
"6" 0.502373806830338 0.000433904791389399 NA -0.000909473719138445 NA NA NA NA NA NA NA NA NA 6 20.1008867231021 -26.3351067795376 3.15546638784669 0.00310094076055982
"2087" 1.01706212650588 NA -9.62308105771996e-05 -0.00321443423863574 NA NA -3.61363258873466e-05 NA NA NA NA NA -0.0231802712799699 8 22.7887015067543 -26.2285658042063 3.26200736317791 0.00294007487565385
"513" 0.53642559325658 NA NA NA NA NA NA NA NA NA -0.313577931128015 NA NA 5 18.7654371059255 -26.2265263857639 3.2640467816203 0.00293707838222778
"18" 0.440970441493684 0.000481830650637768 NA NA NA -0.000148624383770014 NA NA NA NA NA NA NA 6 20.0400348588402 -26.2134030510138 3.27717011637044 0.00291786934141844
"391" 0.897871613719551 NA -8.56059679236843e-05 -0.00239112805355195 NA NA NA NA 0.00086774201573845 -0.000116003060255989 NA NA NA 8 22.7586802046156 -26.1685231999288 3.32204996745544 0.00285312175313362
"1063" 1.1656162185078 NA -8.8223956046623e-05 -0.00307181589962628 NA NA -4.18715200889905e-05 NA NA NA NA -1.2643700576097e-05 NA 8 22.7549171465421 -26.1609970837819 3.32957608360239 0.00284240546593717
"559" 1.0228957918492 NA -0.000255661323511514 -0.00508228354511667 0.000443822489979975 NA -5.12103790562161e-05 NA NA NA 0.782519201777209 NA NA 9 24.2174216637204 -26.1491290417265 3.34144412565778 0.00282558851754311
"37" 0.646597908063256 NA NA -0.00120844967742261 NA NA -1.66375167287209e-05 NA NA NA NA NA NA 6 19.9945551256107 -26.1224435845547 3.36812958282955 0.0027881378594464
"10" 0.448587770440304 0.000552219694574698 NA NA -5.86238780037876e-05 NA NA NA NA NA NA NA NA 6 19.9752144472573 -26.083762227848 3.40681093953624 0.00273473150423408
"17" 0.525919144465494 NA NA NA NA -9.01326002626158e-05 NA NA NA NA NA NA NA 5 18.6857285597237 -26.0671092933604 3.42346387402386 0.00271205538892036
"144" 0.978846280872165 -0.00138836006274336 -0.000276355010211618 -0.00445802793962762 0.000525644310856808 NA NA NA 0.00168884811948534 NA NA NA NA 9 24.1746481606921 -26.0635820356699 3.42699113171437 0.0027072765450986
"1025" 0.620845782100432 NA NA NA NA NA NA NA NA NA NA -5.98659162010876e-06 NA 5 18.6828755444788 -26.0614032628707 3.42916990451357 0.00270432888071467
"1026" 0.572405109493054 0.000458415811843616 NA NA NA NA NA NA NA NA NA -8.15579245817459e-06 NA 6 19.9350877502792 -26.0035088338916 3.48706433349261 0.00262716827281719
"8" 0.578715571155196 0.000675910681633943 -5.05805812745924e-05 -0.00175515206955345 NA NA NA NA NA NA NA NA NA 7 21.2653663356126 -25.9852781257707 3.5052950416135 0.0026033295182409
"641" 0.465579824172786 NA NA NA NA NA NA NA 0.000428417103015502 NA 0.239633140796036 NA NA 6 19.8843006964325 -25.9019347261983 3.58863844118595 0.00249707365917578
"257" 0.488068331751384 NA NA NA NA NA NA NA NA 1.91320007063096e-05 NA NA NA 5 18.5984462273668 -25.8925446286467 3.59802853873757 0.00248537725562752
"385" 0.527467671000342 NA NA NA NA NA NA NA 0.000390356982872719 -2.80151974285287e-05 NA NA NA 6 19.8746082759985 -25.8825498853303 3.60802328205396 0.00247298788469994
"399" 0.935790202998254 NA -0.000234129409184936 -0.00391150625661885 0.000388345563466223 NA NA NA 0.000809197916268129 -9.32989217321631e-05 NA NA NA 9 24.0816229090946 -25.877531532475 3.61304163490926 0.00246679050021087
"2069" 0.836123687180337 NA NA -0.00292969161645696 NA -0.000491847469728768 NA NA NA NA NA NA -0.025000460867413 7 21.2000347335414 -25.8546149216283 3.63595824575599 0.00243868658037862
"3" 0.523713381380188 NA -4.35115404093437e-06 NA NA NA NA NA NA NA NA NA NA 5 18.5768679013322 -25.8493879765774 3.64118519080689 0.00243232146115765
"9" 0.515682777439153 NA NA NA 4.92881389740681e-06 NA NA NA NA NA NA NA NA 5 18.5664105223499 -25.8284732186129 3.66209994877138 0.00240701828686225
"161" 0.466618503464221 NA NA NA NA NA 4.82875581243159e-06 NA 0.000435895150604732 NA NA NA NA 6 19.8335355463221 -25.8004044259775 3.69016874140676 0.00237347318152904
"16" 0.666118108860604 0.00061579260660246 -0.00020417713955054 -0.00333999107914064 0.000394203147073655 NA NA NA NA NA NA NA NA 8 22.5725710696271 -25.796304929952 3.69426823743228 0.00236861314222142
"207" 0.968154181266416 NA -0.000251826797638313 -0.00423545995331942 0.000455610556772295 NA NA -0.000653828330148594 0.000929068581020499 NA NA NA NA 9 24.0385153556528 -25.7913164255914 3.69925674179289 0.00236271258552443
"66" 0.503915803061279 0.00068713477563209 NA NA NA NA NA -0.000401373799860238 NA NA NA NA NA 6 19.8240674603478 -25.7814682540289 3.70910491335539 0.00235110698301773
"193" 0.507972869475719 NA NA NA NA NA NA -8.93548566303171e-05 0.000392973889432154 NA NA NA NA 6 19.8202271937801 -25.7737877208936 3.71678544649065 0.00234209541995105
"1159" 0.938120052971656 NA -6.95928315351669e-05 -0.00209862190796028 NA NA NA NA 0.000714750781811758 NA NA -1.46882837716876e-05 NA 8 22.5579463168348 -25.7670554243674 3.72351774301688 0.00233422483373296
"130" 0.494552345960619 -7.20031687475137e-05 NA NA NA NA NA NA 0.00040998912862793 NA NA NA NA 6 19.8115043256886 -25.7563419847106 3.73423118267367 0.00232175447520971
"2177" 0.484846893806525 NA NA NA NA NA NA NA 0.000358065414699573 NA NA NA 0.000371164866555552 6 19.8097018434513 -25.752737020236 3.73783614714829 0.00231757332336675
"258" 0.482047813605675 0.000500275129564852 NA NA NA NA NA NA NA -3.57695331853638e-05 NA NA NA 6 19.8076906072735 -25.7487145478803 3.74185861950396 0.00231291682028739
"551" 0.940811343425058 NA -8.2611858382437e-05 -0.00323868311488088 NA NA -4.93453932339473e-05 NA NA NA 0.562584343240568 NA NA 8 22.5092657978747 -25.669694386447 3.82087878093723 0.00222331503269994
"1046" 0.771968310603085 0.000623504547065472 NA -0.00299002453384892 NA -0.000528155934920069 NA NA NA NA NA -6.5940133442371e-06 NA 8 22.4853415837286 -25.6218459581548 3.86872720922945 0.00217075520101767
"514" 0.421522690123621 0.000479781276186874 NA NA NA NA NA NA NA NA 0.129265646368723 NA NA 6 19.7324285417245 -25.5981904167823 3.89238275060199 0.00214523124956429
"34" 0.454376042771025 0.000382112426501594 NA NA NA NA -2.85756382750882e-06 NA NA NA NA NA NA 6 19.7222992120407 -25.5779317574147 3.91264140996959 0.00212361117826174
"2050" 0.423653435472267 0.000464069041897273 NA NA NA NA NA NA NA NA NA NA 0.00307356436429995 6 19.7170618800821 -25.5674570934975 3.92311607388676 0.00211251819574252
"406" 1.01006655750505 -0.000742154897197102 NA -0.00399385452418779 NA -0.000737826571872564 NA NA 0.00126029433718442 -7.66888744441871e-05 NA NA NA 9 23.904226499451 -25.5227387131878 3.96783445419644 0.00206580814512687
"2198" 1.10189271673859 -0.00171109291818875 NA -0.00421389471844219 NA -0.000751841541547829 NA NA 0.0017535896383672 NA NA NA -0.0227298927251689 9 23.8725725328003 -25.4594307798863 4.03114238749797 0.00200144123146928
"85" 0.603390279868679 NA NA -0.00253803479217555 NA -0.000428205185911771 NA 0.000466864699260664 NA NA NA NA NA 7 20.9824290237605 -25.4194035020664 4.07116966531788 0.00196178328301961
"40" 0.838958667255086 0.000268663103015678 -7.97816059685364e-05 -0.0027845278640066 NA NA -3.01302055414026e-05 NA NA NA NA NA NA 8 22.377333144057 -25.4058290788116 4.0847440885726 0.00194851332864642
"407" 0.956871986601672 NA -2.80515187730524e-05 -0.00366775113969239 NA -0.000560277895513438 NA NA 0.000796322922235002 -0.000106305934492544 NA NA NA 9 23.8370976268374 -25.3884809679605 4.10209219942378 0.0019316849068808
"175" 0.90458653779294 NA -0.000237161372555358 -0.00428391515248609 0.000409556043638658 NA -2.15015411757424e-05 NA 0.000315831396225159 NA NA NA NA 9 23.8340263705322 -25.38233845535 4.10823471203422 0.00192576130853148
"167" 0.850731346777041 NA -7.8659454637983e-05 -0.00273391240649926 NA NA -2.62971162869548e-05 NA 0.000260955617153827 NA NA NA NA 8 22.3581039148799 -25.3673706204575 4.12320254692672 0.00191140286559485
"30" 0.670901514452946 0.000571575332903115 NA -0.00314855403757639 2.32233971268451e-05 -0.000573752846766015 NA NA NA NA NA NA NA 8 22.3537178344008 -25.3585984594994 4.13197470788489 0.00190303765744708
"2070" 0.693650489560263 0.000557800540949434 NA -0.00309013311686448 NA -0.000542069714579873 NA NA NA NA NA NA -0.00515406651464553 8 22.3486336979313 -25.3484301865602 4.14214298082403 0.00189338690794171
"72" 0.849070002967392 0.00161838250231917 -7.34647212363593e-05 -0.0023811887782609 NA NA NA -0.00132081729225227 NA NA NA NA NA 8 22.3399301877076 -25.331023166113 4.15955000127128 0.00187697930109253
"24" 0.669435855936468 0.000584502746689902 7.3218369350432e-06 -0.00309803649079772 NA -0.00057724369439371 NA NA NA NA NA NA NA 8 22.3329998223295 -25.3171624353566 4.17341073202767 0.00186401612040302
"35" 0.598928020251148 NA -2.60129283659597e-05 NA NA NA -1.96367650801756e-05 NA NA NA NA NA NA 6 19.588613073057 -25.3105594794474 4.18001368793689 0.00185787225976524
"103" 0.843793664156024 NA -8.03125819275384e-05 -0.00285569619936053 NA NA -3.59783703964118e-05 0.000232114467886594 NA NA NA NA NA 8 22.3282588728764 -25.3076805364505 4.18289263093371 0.00185519982950468
"534" 0.667819022120741 0.000603454283739088 NA -0.00304631101129022 NA -0.00053391130478722 NA NA NA NA -0.00605518990958893 NA NA 8 22.3226246256814 -25.2964120420605 4.1941611253238 0.00184477656626352
"413" 0.951315058454312 NA NA -0.00366947666988191 -3.99941247108265e-05 -0.000653359544171105 NA NA 0.000772826709377884 -0.000103659331455976 NA NA NA 9 23.7815176000073 -25.2773209143002 4.21325225308401 0.00182725091290227
"1237" 1.08015972592768 NA NA -0.00374489538230398 NA -0.000665141722258843 NA -0.000548534130776587 0.000848342012323727 NA NA -9.44775183797835e-06 NA 9 23.78128310472 -25.2768519237257 4.21372124365858 0.00182682248140906
"97" 0.461552433216811 NA NA NA NA NA -1.1041648271222e-05 0.00029929564217892 NA NA NA NA NA 6 19.5698377771277 -25.2730088875887 4.21756427979557 0.00182331557936994
"1589" 1.14127564838738 NA NA -0.00445698924691017 NA -0.000673544673078002 -4.57303733354664e-05 NA NA NA 0.76125815298849 -1.04191196572018e-05 NA 9 23.7754338127313 -25.2651533397483 4.2254198276359 0.00181616805410969
"1155" 0.739967035074661 NA -3.75208764931816e-05 NA NA NA NA NA 0.000562372043982247 NA NA -1.33019956505062e-05 NA 7 20.90465279837 -25.2638510512854 4.22672211609882 0.00181498585169181
"469" 0.961520485459485 NA NA -0.00385621561507358 NA -0.000709422032717655 NA -0.000226717237383981 0.000780787356271881 -7.30648045327593e-05 NA NA NA 9 23.7497804599876 -25.213846634261 4.27672653312328 0.00177016978190028
"725" 0.943356846289225 NA NA -0.00394440703733813 NA -0.000673047468735039 NA -0.000748448111411713 0.00104829943277552 NA 0.494727018863023 NA NA 9 23.7490088390629 -25.2123033924115 4.27826977497276 0.00176880440869924
"41" 0.608308081403432 NA NA NA -6.76526518628038e-05 NA -2.06918728427983e-05 NA NA NA NA NA NA 6 19.5272930260783 -25.18791938549 4.30265378189429 0.00174737006851005
"69" 0.467161173199297 NA NA -0.000837113034484508 NA NA NA 0.000393382846899171 NA NA NA NA NA 6 19.5131326436976 -25.1595986207285 4.33097454665573 0.00172280100439103
"2095" 1.03138107804191 NA -0.000222970915679041 -0.00443276366183258 0.000345539623974953 NA -3.51652658624756e-05 NA NA NA NA NA -0.0126394158448403 9 23.7213457634226 -25.1569772411309 4.33359592625335 0.00172054442584948
"1161" 0.77956757324573 NA NA NA -0.000100964658495407 NA NA NA 0.000584655580204323 NA NA -1.50572477879066e-05 NA 7 20.8454766788293 -25.145498812204 4.34507435518024 0.00171069813441166
"2453" 0.91948654496567 NA NA -0.00376376545481471 NA -0.000703624716130245 NA NA 0.000733873002906222 -9.47789845964065e-05 NA NA 0.00355956918574984 9 23.7134350219181 -25.141155758122 4.34941740926224 0.00170698733765974
"437" 0.934001662297948 NA NA -0.00383886072515392 NA -0.000706523117615316 -3.48008097559509e-06 NA 0.000640158911279472 -8.35106764735505e-05 NA NA NA 9 23.7090697576185 -25.1324252295227 4.35814793786155 0.00169955212691153
"1429" 0.923054789568874 NA NA -0.00377206500349971 NA -0.000704066801859757 NA NA 0.000704732177934377 -9.0345274793177e-05 NA 1.30255536794174e-07 NA 9 23.7003942856177 -25.1150742855211 4.37549888186314 0.0016848714828555
"141" 0.607641962892095 NA NA -0.00120368733300516 -8.88273992365943e-05 NA NA NA 0.000513199081108648 NA NA NA NA 7 20.8267835114489 -25.1081124774433 4.38246068994096 0.00167901680260746
"48" 0.919342144528017 0.000218062192918248 -0.00023000381448121 -0.0043191485943381 0.000387120350048226 NA -2.9498235723477e-05 NA NA NA NA NA NA 9 23.6930273706116 -25.1003404555089 4.39023271187532 0.00167250478597734
"49" 0.566749953883051 NA NA NA NA -0.000125038861087172 -1.51841856782619e-05 NA NA NA NA NA NA 6 19.4655279291206 -25.0643891915746 4.42618397580968 0.00164270905632019
"1071" 1.09661349298609 NA -0.000219180855977042 -0.00435723253898019 0.000348391395146109 NA -3.80354404604254e-05 NA NA NA NA -6.05375577421323e-06 NA 9 23.6721903699167 -25.0586664541191 4.43190671326512 0.00163801537837177
"199" 0.841947116305471 NA -7.00381733289563e-05 -0.0023074607179623 NA NA NA -0.000548336068822754 0.000888728015458614 NA NA NA NA 8 22.2020362263675 -25.0552352434327 4.43533792395156 0.00163520759964512
"533" 0.784807599242436 NA NA -0.00275379497175332 NA -0.000471011126385462 NA NA NA NA -0.529709861718587 NA NA 7 20.7991342692792 -25.0528139931039 4.43775917428034 0.00163322917398358
"111" 0.921949996416442 NA -0.000231599159092509 -0.00438663615605321 0.000390118669442842 NA -3.41750568121536e-05 0.000193855762295484 NA NA NA NA NA 9 23.6656460295151 -25.0455777733159 4.44499539406833 0.00162733064854132
"29" 0.732977210260559 NA NA -0.00304021411056734 9.14245292421431e-05 -0.000587124791373521 NA NA NA NA NA NA NA 7 20.7787271103885 -25.0119996753225 4.47857349206178 0.00160023738600524
"45" 0.79017399954757 NA NA -0.00176884697351893 -0.000123207342427331 NA -3.03043009583033e-05 NA NA NA NA NA NA 7 20.7785580620913 -25.011661578728 4.47891158865625 0.00159996689146393
"1057" 0.690231296167089 NA NA NA NA NA -1.48880821389176e-05 NA NA NA NA -7.86837651175133e-06 NA 6 19.4380234887877 -25.0093803109087 4.48119285647559 0.00159814295539259
"693" 0.882285484772829 NA NA -0.004195094941842 NA -0.000670073679188222 -2.77244581780654e-05 NA 0.00029970397835111 NA 0.573779633439937 NA NA 9 23.6377043830197 -24.9896944803251 4.50087868705916 0.00158248973270834
"63" 0.992378409061732 NA -0.000361827276221388 -0.0045259039458204 0.000618621433929944 0.000392898123002919 -3.80110997985046e-05 NA NA NA NA NA NA 9 23.6350210875196 -24.9843278893249 4.5062452780594 0.00157824913705957
"264" 0.756621730165659 0.00100941489191966 -7.45234171805374e-05 -0.00208158573339281 NA NA NA NA NA -0.000118146527781107 NA NA NA 8 22.1580289800742 -24.9672207508461 4.52335241653815 0.00156480704467852
"15" 0.72419829888509 NA -0.000196396280722592 -0.00308589530939271 0.000447167230229558 NA NA NA NA NA NA NA NA 7 20.7549373263481 -24.9644201072417 4.5261530601426 0.00156261734475767
"295" 0.977817471286261 NA -8.4246874740434e-05 -0.00302289245774036 NA NA -3.96770326313607e-05 NA NA -2.66377306287116e-05 NA NA NA 8 22.1566007425278 -24.9643642757534 4.52620889163089 0.00156257372374054
"655" 0.741538403742303 NA -0.000239563977291887 -0.00390148176708644 0.000461483543987651 NA NA NA 0.000700216614604848 NA 0.351437114942981 NA NA 9 23.6228651578574 -24.9600160300005 4.53055713738372 0.00155918018678155
"2261" 1.00957603149301 NA NA -0.00395555244707345 NA -0.000695962655810887 NA -0.000664465526409275 0.000785184495108208 NA NA NA -0.0129273544238039 9 23.622479624171 -24.9592449626278 4.53132820475648 0.00155857918615685
"1089" 0.524843685622985 NA NA NA NA NA NA 0.000459569823342144 NA NA NA -7.96199577010477e-06 NA 6 19.3994243144271 -24.9321819621876 4.55839120519664 0.00153763131922056
"2613" 0.992133413735213 NA NA -0.00448607791752047 NA -0.000695568500604801 -3.88481743351813e-05 NA NA NA 0.623563327316388 NA -0.0128334788083874 9 23.6040964754842 -24.922478665254 4.56809450213022 0.00153018934011917
"23" 0.733087045633085 NA 4.68731284183695e-05 -0.00297082845966273 NA -0.000708774942446438 NA NA NA NA NA NA NA 7 20.7288936179384 -24.9123326904223 4.57824047696199 0.00152244636546489
"2053" 0.626094409865776 NA NA -0.000939923427916639 NA NA NA NA NA NA NA NA -0.0148959284337158 6 19.3868269268014 -24.9069871869361 4.58358598044815 0.00151838267732175
"80" 0.91760289094796 0.00150884745017431 -0.000218851343674357 -0.00385966132460458 0.000376380073347825 NA NA -0.00124789045741641 NA NA NA NA NA 9 23.5770356418699 -24.8683569980255 4.62221616935874 0.00148933639139429
"598" 0.909173099871107 0.0018571614778608 NA -0.00378830647895653 NA -0.000629087432762273 NA -0.00159081086848678 NA NA 0.614663371165169 NA NA 9 23.5697146384074 -24.8537149911006 4.63685817628365 0.00147847276934496
"662" 0.90338661134763 -0.00113539724301241 NA -0.00385448559600427 NA -0.000672950104903112 NA NA 0.00153492323907391 NA 0.306831281750065 NA NA 9 23.5654601880708 -24.8452060904274 4.64536707695686 0.00147219604185402
"1685" 0.924268303522351 NA NA -0.00338472548262267 NA -0.000597031949039531 NA NA 0.000727048654447816 NA 0.397644611258391 -1.1948833969372e-05 NA 9 23.5650773485098 -24.8444404113052 4.64613275607903 0.0014716325348408
"303" 1.00802514638466 NA -0.000233514345378904 -0.00448807044569005 0.000391285676385196 NA -3.65530937934667e-05 NA NA -1.01629548835542e-05 NA NA NA 9 23.5647207305683 -24.8437271754222 4.64684599196203 0.00147110781784289
"1205" 0.992546556504545 NA NA -0.0037726275522946 NA -0.000648105558552538 -1.45299449627204e-05 NA 0.000369733017376156 NA NA -8.69159248200504e-06 NA 9 23.5592324037365 -24.8327505217587 4.65782264562556 0.00146305601301323
"566" 0.88343640854714 0.000238727122810114 NA -0.0042512051018132 NA -0.000664591234642297 -3.42632751660223e-05 NA NA NA 0.601727754635114 NA NA 9 23.550165314875 -24.8146163440357 4.67595682334854 0.00144985031323284
"321" 0.427950401207406 NA NA NA NA NA NA 0.000613830772737144 NA -5.21513598348549e-05 NA NA NA 6 19.338235645675 -24.8098046246834 4.68076854270087 0.00144636636944815
"911" 0.989258946792233 NA -0.000258396817653112 -0.00432398357557737 0.000434255174938105 NA NA NA 0.00122373628930601 -0.000165796972713616 0.984257232842804 NA NA 10 25.08422391994 -24.8025941813434 4.68797898604089 0.00144116128644707
"821" 1.03616043343933 NA NA -0.00457657809242224 NA -0.000703684572622379 -4.43841750902157e-05 NA NA -3.89454891602296e-05 0.703734247376228 NA NA 9 23.5312102888027 -24.7767062918912 4.71386687549309 0.00142262718537882
"1575" 1.28724102702883 NA -9.48888263727265e-05 -0.00359137342929762 NA NA -6.05905686162411e-05 NA NA NA 0.879900458599579 -1.73448053172479e-05 NA 9 23.5125386021173 -24.7393629185203 4.75121024886398 0.00139631078663609
