"(Intercept)" "bio1" "bio12" "bio15" "bio16" "bio17" "bio4" "bio5" "bio6" "et0" "prop_bee_angios" "srad" "wind.1" "df" "logLik" "AICc" "delta" "weight"
"53" 0.939086308274008 NA NA -0.00407658174146295 NA -0.000656491340603408 -2.99954044749569e-05 NA NA NA NA NA NA 7 23.0180138564194 -29.4905731673842 0 0.0150208424081374
"149" 0.761289048415287 NA NA -0.0034181486591414 NA -0.000606778121992469 NA NA 0.000561700194464076 NA NA NA NA 7 23.0122677099027 -29.4790808743508 0.011492293033406 0.0149347779531477
"129" 0.486065755935067 NA NA NA NA NA NA NA 0.00035563356182564 NA NA NA NA 5 19.8095566558605 -28.314765485634 1.17580768175023 0.0083439346830159
"1" 0.518461538451848 NA NA NA NA NA NA NA NA NA NA NA NA 4 18.5640563244223 -28.2770488190573 1.21352434832698 0.00818805640374145
"2" 0.437533726993808 0.000433980672876731 NA NA NA NA NA NA NA NA NA NA NA 5 19.708470772835 -28.112593719583 1.37797944780124 0.00754171045149481
"22" 0.667001891320259 0.000605481430807584 NA -0.00304549205601932 NA -0.000533541085476625 NA NA NA NA NA NA NA 7 22.3225678750262 -28.0996812045979 1.39089196278634 0.00749317607070468
"405" 0.92407456131902 NA NA -0.00376907734760242 NA -0.00070340805856412 NA NA 0.000704268576824868 -8.97284826192057e-05 NA NA NA 8 23.7003621606183 -28.0518871119342 1.43868605545005 0.00731623391287452
"39" 0.921157321561386 NA -8.02467921480981e-05 -0.00293819469712932 NA NA -3.82395914250909e-05 NA NA NA NA NA NA 7 22.1763098876511 -27.8071652298476 1.68340793753664 0.00647361549629635
"47" 0.987613197616398 NA -0.000233970042381559 -0.00447989491344564 0.000396373428798815 NA -3.60290513410537e-05 NA NA NA NA NA NA 8 23.5543347836891 -27.759832358076 1.73074080930829 0.00632220680913429
"143" 0.768779187775415 NA -0.000231594881389428 -0.00378824630881313 0.00043275390368602 NA NA NA 0.000607989110919333 NA NA NA NA 8 23.452079435563 -27.5553216618238 1.93525150556047 0.00570768194842672
