"predictor","p-value","r-squared","slope"
"temperature",0.145,0.042,"+"
"temp_seasonality",0.296,0.021,"-"
"precipitation",0.96,0,"-"
"prec_seasonality",0.507,0.009,"-"
"elevation",0.724,0.002,"+"
"ai",0.574,0.006,"+"
"npp",0.642,0.004,"+"
"prop_bee_angios",0.773,0.002,"-"
