"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)","sum_of_weight"
"bio1",0,0.001,0.000979978745301456,0.0999495267402646,0.92,0.209
"bio5",-0.001,0.001,0.000641862361877179,0.860495640190097,0.39,0.057
"et0",0,0,8.20295055756547e-05,1.09385619222647,0.274,0.074
"bio6",0.001,0.001,0.000514520318711473,1.31673276988932,0.188,0.482
"bio12",0,0,0.000114940820248512,1.56128990683076,0.118,0.188
"bio16",0,0,0.00025483370421252,1.62315441168393,0.105,0.122
"bio4",0,0,1.53282254491463e-05,2.17150789075301,0.03,0.282
"bio17",-0.001,0,0.000278735225423484,2.28020334712129,0.023,0.568
"bio15",-0.004,0.002,0.00160735396411504,2.29049139198286,0.022,0.756
