"predictor","p-value","r-squared","slope"
"temperature",0.022,0.102,"+"
"temp_seasonality",0.204,0.038,"-"
"precipitation",0.664,0.006,"-"
"prec_seasonality",0.792,0.019,"+"
"elevation",0.954,0.008,"+"
"ai",0.534,0.01,"+"
"npp",0.775,0.004,"+"
"bin_biome",0.033,0.092,"+"
"super_biome",0.009,0.181,"-"
"tropical",0.024,0.11,"+"
"biome",0.261,0.431,"-"
