"","Value","Std.Error","t-value","p-value"
"(Intercept)",0.538139367365609,0.0720584727011156,7.46809288614409,0
"precipitation",-2.56562182239252e-05,5.87856872395686e-05,-0.436436476779947,0.664
"prop_bee_angios",-0.512693130213435,0.97935308074648,-0.52350183023129,0.603
"precipitation:prop_bee_angios",0.000604617363139513,0.00150076716134731,0.402872196774829,0.689
