"","Value","Std.Error","t-value","p-value"
"(Intercept)",0.579999633678295,0.0836417969811549,6.9343277477524,0
"super_biometemperate",-0.348953602712745,0.12751499374639,-2.73656918657555,0.009
"super_biometropical",-0.0040258016608351,0.113578087453153,-0.0354452320082921,0.972
"prop_bee_angios",-0.731285612041941,0.750915597401993,-0.973858599517753,0.335
"super_biometemperate:prop_bee_angios",3.04533303247637,1.25943591676099,2.41801348679046,0.02
"super_biometropical:prop_bee_angios",-0.339788859168265,2.2128229210633,-0.153554473760146,0.879
