"","Value","Std.Error","t-value","p-value"
"(Intercept)",0.485660123470773,0.0656445438405098,7.3983319108856,0
"ai",4.9570704436906e-06,7.91871309370047e-06,0.6259944494812,0.534
"prop_bee_angios",0.175953392740971,0.797592628338902,0.22060559048473,0.826
"ai:prop_bee_angios",-7.52364806523089e-05,0.000183225130679232,-0.410623151820934,0.683
