"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)","sum_of_weight"
"bio15",-0.001,0.001,0.00117582962359859,0.878789692537892,0.38,0.108
"srad",0,0,1.47606472693832e-05,1.4769881082414,0.14,0.4
"bee_rich",0,0,5.93719210217467e-05,1.49225913617313,0.136,0.405
