"","(Intercept)","bee_rich","bio1","bio12","bio15","bio16","bio17","bio4","bio5","bio6","et0","srad","wind.1","df","logLik","AICc","delta","weight","rsqs"
"1",0.474109408282222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13.4374862621411,-17.4464010957108,0,0.033925364902752,NA
"2",0.407322710602961,8.43730876924989e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14.5467123546739,-16.8712024871257,0.575198608585147,0.025446129719222,0.064
"1025",0.826479604608945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07257600050389e-05,NA,5,14.5203486769713,-16.8184751317203,0.627925963990492,0.0247840420375172,0.064
"1026",0.790374157194103,9.3192983243785e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2940463469126e-05,NA,6,15.9671517235515,-16.7035342163338,0.742866879376997,0.0233998478951507,0.141
"9",0.546504464438907,NA,NA,NA,-0.00103330695339915,NA,NA,NA,NA,NA,NA,NA,NA,5,13.8766316584459,-15.5310410946696,1.91536000104121,0.0130199521453743,0.026
"514",0.531103611367316,0.000107877452354245,NA,NA,NA,NA,NA,NA,NA,NA,-9.21820702986032e-05,NA,NA,6,15.2416885903772,-15.2526079499852,2.19379314572564,0.0113278737162688,0.103
"2049",0.513325373392466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0134594495342902,5,13.6509517537834,-15.0796812853445,2.36671981036632,0.0103895766320173,0.012
"513",0.539290272219744,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.24920739899428e-05,NA,NA,5,13.5004461021419,-14.7786699820615,2.66773111364927,0.00893787088694538,0.009
"10",0.47797190748633,8.31085236787001e-05,NA,NA,-0.000994046172864984,NA,NA,NA,NA,NA,NA,NA,NA,6,14.9811282988479,-14.7314873669266,2.71491372878416,0.00872948256711004,0.087
"33",0.478189872859396,NA,NA,NA,NA,NA,-4.20359695937758e-05,NA,NA,NA,NA,NA,NA,5,13.4645493876584,-14.7068765530946,2.7395245426162,0.0086227209516931,0.002
"129",0.445233036176257,NA,NA,NA,NA,NA,NA,NA,0.00010767136692016,NA,NA,NA,NA,5,13.4642861538528,-14.7063500854833,2.74005101022748,0.00862045145875876,0.002
"5",0.487771762695156,NA,NA,-1.19773338783228e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13.4394465281384,-14.6566708340546,2.78973026165622,0.00840896022674269,0.006
"3",0.473997604958056,NA,7.04826870112014e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13.4374882790964,-14.6527543359706,2.79364675974016,0.00839250950100068,0
"17",0.490804250999348,NA,NA,NA,NA,-3.25681181849484e-05,NA,NA,NA,NA,NA,NA,NA,5,13.4329405320185,-14.6436588418147,2.80274225389612,0.00835442914598372,0.005
"65",0.457019376266119,NA,NA,NA,NA,NA,NA,5.38370643469364e-06,NA,NA,NA,NA,NA,5,13.4312211946673,-14.6402201671123,2.8061809285985,0.00834007740518261,0.005
"1033",0.87748462972151,NA,NA,NA,-0.000927319674121475,NA,NA,NA,NA,NA,NA,-1.99042212057494e-05,NA,6,14.8955886932785,-14.5604081557877,2.88599293992311,0.00801381151011803,0.085
"257",0.477132510914848,NA,NA,NA,NA,NA,NA,NA,NA,-5.95663509744221e-05,NA,NA,NA,5,13.3689223079456,-14.515622393669,2.93077870204185,0.00783635349557958,0.001
