"","(Intercept)","bee_rich","bio1","bio12","bio15","bio16","bio17","bio4","bio5","bio6","et0","srad","wind.1","df","logLik","AICc","delta","weight","rsqs"
"1537",0.873112410860943,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87375086309128e-05,-2.97133493057663e-05,NA,6,14.7385398033965,-14.2463103760239,3.20009071968696,0.00684910236430632,0.076
"2050",0.444270699749239,8.3075346254791e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0123293545858567,6,14.7377677249341,-14.2447662190991,3.20163487661175,0.00684381636075142,0.073
"41",0.675693390768678,NA,NA,NA,-0.00243121400572403,NA,-0.000321959472699413,NA,NA,NA,NA,NA,NA,6,14.712260049869,-14.1937508689688,3.25265022674205,0.00667145414195069,0.074
"1034",0.838880669213572,9.17710595939369e-05,NA,NA,-0.00087192859767487,NA,NA,NA,NA,NA,NA,-2.213394979889e-05,NA,7,16.3288347588835,-14.177669517767,3.26873157794384,0.00661802622951849,0.158
"1041",0.878484963681397,NA,NA,NA,NA,-5.14703319713523e-05,NA,NA,NA,NA,NA,-2.22216336917355e-05,NA,6,14.6606068032774,-14.0904443757855,3.35595671992528,0.00633560051099799,0.077
"18",0.421879329091443,8.31239435644958e-05,NA,NA,NA,-2.58848516520686e-05,NA,NA,NA,NA,NA,NA,NA,6,14.6052490266175,-13.9797288224658,3.466672273245,0.00599440674450302,0.068
"1153",0.78893315648965,NA,NA,NA,NA,NA,NA,NA,0.000170057306823674,NA,NA,-2.11997320625139e-05,NA,6,14.5912783198426,-13.9517874089159,3.49461368679493,0.00591124292690027,0.067
"6",0.417859875002687,8.25631458944814e-05,NA,-7.76556077310777e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.5881754604332,-13.9455816900972,3.50081940561358,0.00589292959769964,0.067
"1029",0.849138196886561,NA,NA,-1.40585064114344e-05,NA,NA,NA,NA,NA,NA,NA,-2.11084964223561e-05,NA,6,14.5692592409268,-13.9077492510844,3.53865184462643,0.005782505345271,0.072
"1089",0.808489239855278,NA,NA,NA,NA,NA,NA,3.67960739077311e-06,NA,NA,NA,-2.03382141976692e-05,NA,6,14.5624261943235,-13.8940831578778,3.55231793783299,0.00574312790392163,0.066
"4",0.403511545780236,8.45395900303273e-05,2.31982754437326e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.5490455143175,-13.8673217978658,3.57907929784497,0.00566679279397845,0.064
"258",0.40816135655231,8.4081830756251e-05,NA,NA,NA,NA,NA,NA,NA,-1.07484843457988e-05,NA,NA,NA,6,14.54751379595,-13.8642583611307,3.58214273458013,0.0056581195075824,0.064
"66",0.407532495342366,8.45020457655861e-05,NA,NA,NA,NA,NA,-1.00643836029285e-07,NA,NA,NA,NA,NA,6,14.5467414578449,-13.8627136849206,3.58368741079019,0.00565375121340106,0.064
"130",0.407973336479512,8.44246765112026e-05,NA,NA,NA,NA,NA,NA,-2.57834869107114e-06,NA,NA,NA,NA,6,14.5467283502669,-13.8626874697646,3.58371362594622,0.00565367710690163,0.064
"34",0.407317973811398,8.43748365450707e-05,NA,NA,NA,NA,3.45461826440751e-08,NA,NA,NA,NA,NA,NA,6,14.5467123737467,-13.8626555167241,3.58374557898668,0.00565358678153651,0.064
"1057",0.828425977064635,NA,NA,NA,NA,NA,-3.42378472573888e-05,NA,NA,NA,NA,-2.06447956085438e-05,NA,6,14.539501924745,-13.8482346187207,3.5981664769901,0.0056129684963888,0.065
"1042",0.837368412010426,9.14743217062153e-05,NA,NA,NA,-4.58146590651199e-05,NA,NA,NA,NA,NA,-2.42121501085998e-05,NA,7,16.1633045453588,-13.8466090907175,3.5997920049933,0.00560840833107296,0.152
"3073",0.822758090072409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.01099445613301e-05,-0.00231589848387324,6,14.5260698369333,-13.8213704430974,3.62503065261336,0.00553807869979425,0.064
"1027",0.823652590581049,NA,2.17543994412111e-05,NA,NA,NA,NA,NA,NA,NA,NA,-2.0762419522857e-05,NA,6,14.5223981404374,-13.8140270501057,3.63237404560516,0.00551778184039442,0.064
"1281",0.825709610821592,NA,NA,NA,NA,NA,NA,NA,NA,-1.6707283181059e-05,NA,-2.06248721580942e-05,NA,6,14.5222886398865,-13.8138080490037,3.63259304670714,0.00551717767332156,0.064
"13",0.631916345514084,NA,NA,-3.32820273182147e-05,-0.00169541564448906,NA,NA,NA,NA,NA,NA,NA,NA,6,14.4431610112248,-13.6555527916803,3.79084830403051,0.0050974418192107,0.059
"1030",0.80662394260155,9.10424742741353e-05,NA,-9.55835529655718e-06,NA,NA,NA,NA,NA,NA,NA,-2.31370273957042e-05,NA,7,16.0355768001099,-13.5911536002197,3.85524749549107,0.00493592066665499,0.145
"1090",0.803397262393599,9.71657996600623e-05,NA,NA,NA,NA,NA,-2.97860840829456e-06,NA,NA,NA,-2.3348519998862e-05,NA,7,15.9944920609601,-13.5089841219201,3.9374169737907,0.00473723899235326,0.142
"1282",0.792021281729797,9.4607865284654e-05,NA,NA,NA,NA,NA,NA,NA,4.76628110038172e-05,NA,-2.32618101246633e-05,NA,7,15.9840459925868,-13.4880919851737,3.95830911053715,0.00468801103688001,0.141
"1028",0.783879780653569,9.35779911634608e-05,4.88181666143703e-05,NA,NA,NA,NA,NA,NA,NA,NA,-2.30318032695938e-05,NA,7,15.9783938771126,-13.4767877542252,3.96961334148559,0.0046615885988324,0.141
"1154",0.778612172836508,9.21394247527608e-05,NA,NA,NA,NA,NA,NA,5.51175721458134e-05,NA,NA,-2.30690023238948e-05,NA,7,15.9750742187886,-13.4701484375772,3.97625265813359,0.00464613937469769,0.141
"1058",0.789339972589081,9.38911853632716e-05,NA,NA,NA,NA,1.34298449301999e-05,NA,NA,NA,NA,-2.29887895800007e-05,NA,7,15.9702828820874,-13.4605657641747,3.98583533153609,0.00462393140201538,0.141
"3074",0.791337140771493,9.33258545401959e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.31114629751346e-05,0.000631155390061294,7,15.9676123114666,-13.4552246229332,3.99117647277763,0.00461159934081018,0.141
"1538",0.791978988030966,9.27559087330799e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.11605503821241e-06,-2.32067504030935e-05,NA,7,15.9673427048404,-13.4546854096808,3.99171568603,0.00461035619065888,0.141
"2065",0.605305769879982,NA,NA,NA,NA,-9.46971970564517e-05,NA,NA,NA,NA,NA,NA,-0.0279909246123826,6,14.1517764923845,-13.0727837539999,4.37361734171095,0.00380895278191694,0.042
"25",0.591493133027847,NA,NA,NA,-0.00124993550530106,-5.68713986564259e-05,NA,NA,NA,NA,NA,NA,NA,6,14.131005009794,-13.0312407888187,4.4151603068921,0.00373065122055479,0.041
"2057",0.582290992445089,NA,NA,NA,-0.00101037019278306,NA,NA,NA,NA,NA,NA,NA,-0.0128334058629848,6,14.0756203244292,-12.9204714180892,4.52592967762163,0.00352964790735978,0.037
"642",0.474357808874491,0.000111520513522235,NA,NA,NA,NA,NA,NA,0.000516939608573282,NA,-0.000147061334880555,NA,NA,7,15.6662459522498,-12.8524919044996,4.59390919121118,0.00341169203514007,0.124
"521",0.607116549436525,NA,NA,NA,-0.0010092441995643,NA,NA,NA,NA,NA,-4.03327030137779e-05,NA,NA,6,14.018453075117,-12.8061369194647,4.64026417624607,0.00333352690353626,0.035
"2053",0.571094948884629,NA,NA,-2.64234704440953e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.0226529564223563,6,14.0144799720888,-12.7981907134083,4.64821038230247,0.00332030873366461,0.034
"522",0.592387328637682,0.000105764973680701,NA,NA,-0.000930395351476817,NA,NA,NA,NA,NA,-8.85690861711717e-05,NA,NA,7,15.6371568430646,-12.7943136861291,4.65208740958171,0.00331387850445381,0.124
"2305",0.566570810170339,NA,NA,NA,NA,NA,NA,NA,NA,-0.000278585672523245,NA,NA,-0.0263230076509176,6,13.976382304549,-12.7219953783288,4.72440571738206,0.00319619200619839,0.032
"1065",0.962591295938342,NA,NA,NA,-0.00217895138590504,NA,-0.000286081420232123,NA,NA,NA,NA,-1.81190016332015e-05,NA,7,15.5857548998772,-12.6915097997545,4.75489129595634,0.00314784255133595,0.122
"2113",0.500936454145016,NA,NA,NA,NA,NA,NA,1.12596489493032e-05,NA,NA,NA,NA,-0.0211813966403108,6,13.9598288320013,-12.6888884332333,4.75751266247748,0.00314371942944068,0.03
"1037",0.969749241642905,NA,NA,-3.41134262858952e-05,-0.00160450234982047,NA,NA,NA,NA,NA,NA,-2.01879250227151e-05,NA,7,15.5298498023399,-12.5796996046798,4.86670149103104,0.0029766908077931,0.119
"265",0.549965240085733,NA,NA,NA,-0.00103259727696742,NA,NA,NA,NA,-6.20491451204235e-05,NA,NA,NA,6,13.9027352912602,-12.5747013517512,4.87169974395965,0.00296926096893974,0.028
"73",0.533737389265834,NA,NA,NA,-0.000978384578915014,NA,NA,2.87840629259019e-06,NA,NA,NA,NA,NA,6,13.9003526479778,-12.5699360651864,4.87646503052446,0.0029621947007795,0.028
"137",0.537500439008281,NA,NA,NA,-0.00102026129654514,NA,NA,NA,3.01667116303443e-05,NA,NA,NA,NA,6,13.8787201176472,-12.5266710045251,4.9197300911857,0.00289880306686812,0.026
"641",0.49254159507091,NA,NA,NA,NA,NA,NA,NA,0.000442815355507857,NA,-8.88167698806611e-05,NA,NA,6,13.8784842974479,-12.5261993641266,4.92020173158424,0.00289811955114781,0.026
"11",0.549818310272772,NA,-1.9253565429119e-05,NA,-0.00103702067362064,NA,NA,NA,NA,NA,NA,NA,NA,6,13.8781722763931,-12.525575322017,4.92082577369386,0.00289721541789015,0.026
"2051",0.600302559873259,NA,-0.00031208624779337,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0263213686206259,6,13.8566412303457,-12.4825132299222,4.96388786578864,0.0028355020995681,0.025
"42",0.587776891464586,6.93216832583001e-05,NA,NA,-0.00206565470058026,NA,-0.000245324684012823,NA,NA,NA,NA,NA,NA,7,15.4625126598099,-12.4450253196199,5.00137577609093,0.00278284858452502,0.114
"2061",0.791385619827688,NA,NA,-5.96837614814533e-05,-0.00216188485870835,NA,NA,NA,NA,NA,NA,NA,-0.0328894526786959,7,15.4552583287894,-12.4305166575788,5.01588443813204,0.00276273392711601,0.112
"259",0.352005176981384,NA,0.00108480994196132,NA,NA,NA,NA,NA,NA,-0.000882905136677504,NA,NA,NA,6,13.8104990764548,-12.3902289221403,5.05617217357049,0.00270763856025193,0.022
"516",0.523098044326427,0.000114936757832321,0.000223861253496785,NA,NA,NA,NA,NA,NA,NA,-0.000113600718946604,NA,NA,7,15.4311460682426,-12.3822921364852,5.06410895922559,0.00269691487877334,0.112
"530",0.569531208446343,0.000108125128329174,NA,NA,NA,-4.55142075657178e-05,NA,NA,NA,NA,-0.000101744156634686,NA,NA,7,15.4235281304262,-12.3670562608523,5.07934483485846,0.00267644800559357,0.114
"2562",0.556625149587861,0.000105819901647885,NA,NA,NA,NA,NA,NA,NA,NA,-8.8383180687821e-05,NA,-0.0102126479800217,7,15.3771087938122,-12.2742175876244,5.17218350808642,0.00255504850489956,0.109
"14",0.553666276905645,7.60636527689722e-05,NA,-2.72324791721563e-05,-0.00153907913380871,NA,NA,NA,NA,NA,NA,NA,NA,7,15.3763051068081,-12.2726102136162,5.17379088209466,0.00255299587056953,0.11
"1049",0.96793881685368,NA,NA,NA,-0.00120127419696113,-7.45524318619987e-05,NA,NA,NA,NA,NA,-2.17971522342994e-05,NA,7,15.3538685186551,-12.2277370373101,5.21866405840071,0.00249635316434481,0.11
"2081",0.525934264760549,NA,NA,NA,NA,NA,-7.2772362398182e-05,NA,NA,NA,NA,NA,-0.015362809216935,6,13.7289399129934,-12.2271105952176,5.21929050049325,0.00249557137643741,0.017
"518",0.553702633019048,0.000106243919140252,NA,-1.20844647656898e-05,NA,NA,NA,NA,NA,NA,-9.68046219179018e-05,NA,NA,7,15.3448494275142,-12.2096988550285,5.23670224068236,0.00247393955476389,0.109
"770",0.538229631237067,0.000114028800066366,NA,NA,NA,NA,NA,NA,NA,0.000114643287256313,-0.000104145200229875,NA,NA,7,15.3250799543999,-12.1701599087998,5.27624118691102,0.00242551135055437,0.107
"2089",0.769907403832511,NA,NA,NA,-0.00273866829362154,NA,-0.000401940447832435,NA,NA,NA,NA,NA,-0.0222771740062845,7,15.296475143275,-12.1129502865501,5.33345080916071,0.00235711298147098,0.104
"2177",0.552846536830426,NA,NA,NA,NA,NA,NA,NA,-0.000114370881317915,NA,NA,NA,-0.016496302374455,6,13.6706302682581,-12.110491305747,5.33590978996376,0.00235421671451601,0.014
"529",0.57408189234677,NA,NA,NA,NA,-4.27031157081583e-05,NA,NA,NA,NA,-5.07358308484742e-05,NA,NA,6,13.647939655362,-12.0651100799548,5.38129101575599,0.00230139958698752,0.018
"517",0.565128049070362,NA,NA,-1.45324582397026e-05,NA,NA,NA,NA,NA,NA,-4.83794710378221e-05,NA,NA,6,13.638411341216,-12.0460534516627,5.40034764404814,0.00227957526834575,0.018
"515",0.538044304946808,NA,8.58501622004465e-05,NA,NA,NA,NA,NA,NA,NA,-5.02074869758087e-05,NA,NA,6,13.6224969045789,-12.0142245783885,5.4321765173223,0.00224358426010319,0.011
"578",0.533878712033512,0.00010935207596256,NA,NA,NA,NA,NA,-1.07115775226719e-06,NA,NA,-9.2585302621725e-05,NA,NA,7,15.2451147047617,-12.0102294095234,5.43617168618739,0.00223910698446897,0.103
"546",0.533020052791806,0.000107376755597538,NA,NA,NA,NA,-1.12868157980361e-05,NA,NA,NA,-9.24572546111603e-05,NA,NA,7,15.2438032828958,-12.0076065657916,5.4387945299192,0.0022361724952067,0.104
"385",0.388700702927255,NA,NA,NA,NA,NA,NA,NA,0.000363782386515239,-0.000214753555753459,NA,NA,NA,6,13.6178959177754,-12.0050226047815,5.44137849092931,0.00223328526945827,0.011
"133",0.441720010434638,NA,NA,-1.57355906194624e-05,NA,NA,NA,NA,0.000189570647812393,NA,NA,NA,NA,6,13.6106392756548,-11.9905093205404,5.45589177517041,0.0022171377766519,0.01
"145",0.447172410923192,NA,NA,NA,NA,-4.25211118966572e-05,NA,NA,0.00018355508723562,NA,NA,NA,NA,6,13.5997807627043,-11.9687922946393,5.47760880107152,0.00219319319394133,0.01
"67",0.415472255552173,NA,0.00017717941245561,NA,NA,NA,NA,9.85430440030721e-06,NA,NA,NA,NA,NA,6,13.5966459150401,-11.962522599311,5.48387849639982,0.00218632863267885,0.01
"577",0.523375290535268,NA,NA,NA,NA,NA,NA,5.66224908222427e-06,NA,NA,-4.36363305551985e-05,NA,NA,6,13.5960824204831,-11.961395610197,5.48500548551383,0.00218509699543754,0.015
"7",0.475770365494131,NA,0.000116054247028677,-1.71153516458702e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13.5744568638532,-11.9181444969371,5.52825659877368,0.00213835033964607,0.008
"19",0.47985118718621,NA,0.0001270567371013,NA,NA,-4.9397740777091e-05,NA,NA,NA,NA,NA,NA,NA,6,13.5729896470244,-11.9152100632796,5.53119103243123,0.00213521521655702,0.008
"26",0.518374247947603,8.05339369080317e-05,NA,NA,-0.00117955792257432,-4.83912152123935e-05,NA,NA,NA,NA,NA,NA,NA,7,15.1766026788328,-11.8732053576655,5.57319573804529,0.00209083831414505,0.099
"321",0.440378292129389,NA,NA,NA,NA,NA,NA,9.1500346171479e-06,NA,9.50664939968458e-05,NA,NA,NA,6,13.5450603757272,-11.8593515206852,5.58704957502565,0.00207640529345638,0.006
"545",0.547334035677561,NA,NA,NA,NA,NA,-5.12294234973974e-05,NA,NA,NA,-4.45547558724057e-05,NA,NA,6,13.5409727479443,-11.8511762651193,5.59522483059154,0.00206793504489578,0.012
"131",0.408718047509942,NA,-0.000252206149879835,NA,NA,NA,NA,NA,0.000392991826343421,NA,NA,NA,NA,6,13.5347870533746,-11.8388048759801,5.60759621973075,0.0020551829113808,0.006
"2058",0.511731938619687,8.19116042647604e-05,NA,NA,-0.000973907196209395,NA,NA,NA,NA,NA,NA,NA,-0.011749214988797,7,15.158856402143,-11.8377128042859,5.60868829142491,0.00205406101416481,0.094
"161",0.441466232902234,NA,NA,NA,NA,NA,-5.52147979344075e-05,NA,0.000141699999226002,NA,NA,NA,NA,6,13.5083979032758,-11.7860265757823,5.66037451992852,0.00200165772923633,0.004
"769",0.538086466169667,NA,NA,NA,NA,NA,NA,NA,NA,-1.57371553468345e-05,-4.11608168385548e-05,NA,NA,6,13.5019976689207,-11.7732261070723,5.67317498863855,0.00198888756029968,0.009
"2066",0.527046429599713,7.7858124344367e-05,NA,NA,NA,-8.07505113666787e-05,NA,NA,NA,NA,NA,NA,-0.0247942271993825,7,15.1208601780748,-11.7617203561496,5.6846807395612,0.00197747858652685,0.094
"1545",0.923147077211534,NA,NA,NA,-0.000920472433324692,NA,NA,NA,NA,NA,6.78638067505192e-05,-2.87834883991352e-05,NA,7,15.1131473112848,-11.7462946225696,5.70010647314125,0.00196228522511406,0.096
"37",0.493577371300339,NA,NA,-2.53700612183644e-05,NA,NA,0.000101601385790439,NA,NA,NA,NA,NA,NA,6,13.4807685080265,-11.7307677852837,5.71563331042711,0.00194711016480523,0.008
"35",0.473681223879032,NA,3.1798137723199e-05,NA,NA,NA,-4.75519374610017e-05,NA,NA,NA,NA,NA,NA,6,13.4681952455694,-11.7056212603696,5.7407798353412,0.00192278190099091,0.002
"69",0.47302366021615,NA,NA,-8.19851163256547e-06,NA,NA,NA,3.3265963184855e-06,NA,NA,NA,NA,NA,6,13.4628376257226,-11.694906020676,5.75149507503478,0.00191250791315313,0.007
"81",0.474312049630058,NA,NA,NA,NA,-2.02242377162651e-05,NA,3.23564939099781e-06,NA,NA,NA,NA,NA,6,13.4512906067671,-11.6718119827651,5.77458911294575,0.00189055115951662,0.006
"261",0.488000563554262,NA,NA,-1.28600674947679e-05,NA,NA,NA,NA,NA,1.47492535895578e-05,NA,NA,NA,6,13.4404226702803,-11.6500761097914,5.79632498591944,0.00187011601465409,0.006
"21",0.488877150232896,NA,NA,-9.25927294180843e-06,NA,-8.19649525753611e-06,NA,NA,NA,NA,NA,NA,NA,6,13.4401593440505,-11.6495494573317,5.79685163837906,0.00186962362888653,0.006
"97",0.460751883359648,NA,NA,NA,NA,NA,-2.46721256958241e-05,4.97630278428872e-06,NA,NA,NA,NA,NA,6,13.4400188221222,-11.6492684134752,5.79713268223558,0.00186936092422739,0.006
"273",0.491467356992784,NA,NA,NA,NA,-3.56436806300866e-05,NA,NA,NA,1.73398811602509e-05,NA,NA,NA,6,13.4342132203963,-11.6376572100234,5.80874388568746,0.00185853960175788,0.005
"49",0.491313430519701,NA,NA,NA,NA,-3.55731150241494e-05,1.10095488681256e-05,NA,NA,NA,NA,NA,NA,6,13.4340661300116,-11.637363029254,5.80903806645681,0.00185826624855723,0.005
"2073",0.744712662688927,NA,NA,NA,-0.00148428186162464,-0.000133907482821789,NA,NA,NA,NA,NA,NA,-0.0330916842724803,7,15.0195793054637,-11.5591586109275,5.88724248478333,0.00178700622458724,0.089
"29",0.682586928594405,NA,NA,-0.000141369310828003,-0.00275397145573119,0.00028659353772694,NA,NA,NA,NA,NA,NA,NA,7,15.0080908585892,-11.5361817171784,5.91021937853245,0.00176659377668313,0.091
"74",0.488276490795406,8.69252980579907e-05,NA,NA,-0.00105013404898789,NA,NA,-3.03262025770973e-06,NA,NA,NA,NA,NA,7,15.0068719750202,-11.5337439500404,5.91265714567039,0.00176444181631668,0.088
"289",0.47910899409832,NA,NA,NA,NA,NA,-3.06230755394831e-05,NA,NA,-4.21150937261034e-05,NA,NA,NA,6,13.3813259995792,-11.5318827683891,5.91451832732169,0.00176280060671576,0.002
"1038",0.916135946057945,8.46901756965661e-05,NA,-2.74632218074601e-05,-0.00142128911658353,NA,NA,NA,NA,NA,NA,-2.21903804730935e-05,NA,8,16.765531937398,-11.5310638747961,5.91533722091472,0.00176207898139812,0.181
"138",0.500873182098006,8.46851989994938e-05,NA,NA,-0.00102833149748531,NA,NA,NA,-8.1087500761636e-05,NA,NA,NA,NA,7,14.9968489242824,-11.5136978485648,5.932703247146,0.00174684506037286,0.088
"266",0.478818684286101,8.28142862389822e-05,NA,NA,-0.000994053346595152,NA,NA,NA,NA,-1.08365681881035e-05,NA,NA,NA,7,14.9819643235997,-11.4839286471994,5.96247244851141,0.00172103652059037,0.087
"12",0.477316259256793,8.31360095859386e-05,3.67817444897154e-06,NA,-0.000993326412069907,NA,NA,NA,NA,NA,NA,NA,NA,7,14.9811882525718,-11.4823765051436,5.96402459056717,0.00171970139215307,0.087
"1050",0.921153185751562,8.8856103891783e-05,NA,NA,-0.0011190782288459,-6.67989799613197e-05,NA,NA,NA,NA,NA,-2.37592999127365e-05,NA,8,16.7278995969199,-11.4557991938397,5.99060190187107,0.00169700004180757,0.179
"2054",0.492999425922958,7.76089342254384e-05,NA,-2.02099765187098e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.0194354902985232,7,14.9590456729244,-11.4380913458488,6.008309749862,0.00168204125213117,0.085
"1169",0.829635974029472,NA,NA,NA,NA,-6.84031892472122e-05,NA,NA,0.000298985201915183,NA,NA,-2.35184960068062e-05,NA,7,14.9552648170508,-11.4305296341016,6.01587146160923,0.00167569370372766,0.088
"553",0.760075141385837,NA,NA,NA,-0.00247980380257865,NA,-0.000340188449644548,NA,NA,NA,-5.12815207773791e-05,NA,NA,7,14.9514162817428,-11.4228325634856,6.02356853222524,0.00166925713097667,0.088
"3089",0.886190413720708,NA,NA,NA,NA,-8.43597408565006e-05,NA,NA,NA,NA,NA,-1.89073615515909e-05,-0.0159259702919075,7,14.9408910336813,-11.4017820673626,6.04461902834825,0.00165177992291454,0.087
"105",0.765280097070565,NA,NA,NA,-0.00310716232439,NA,-0.000433057770534391,-1.01475851833232e-05,NA,NA,NA,NA,NA,7,14.9214651784366,-11.3629303568731,6.08347073883767,0.00162000233792196,0.086
"1043",0.880028315271782,NA,0.000238350787055424,NA,NA,-8.35881804158153e-05,NA,NA,NA,NA,NA,-2.35217372109357e-05,NA,7,14.9200675677945,-11.360135135589,6.08626596012182,0.00161773978686531,0.086
"1161",0.852903377321647,NA,NA,NA,-0.000882298804256967,NA,NA,NA,0.000100117786959491,NA,NA,-2.02230897519605e-05,NA,7,14.9198107348038,-11.3596214696076,6.08677962610323,0.00161732435126873,0.086
"1553",0.91341814300241,NA,NA,NA,NA,-4.59187593140788e-05,NA,NA,NA,NA,5.97065051159755e-05,-2.98479085495559e-05,NA,7,14.9179882881894,-11.3559765763788,6.09042451933204,0.00161437954816864,0.086
"532",0.64513485341706,0.000134676566751101,0.000820769848815576,NA,NA,-0.000169791192305543,NA,NA,NA,NA,-0.000206394860825024,NA,NA,8,16.6667697651439,-11.3335395302878,6.11286156542299,0.00159636980425164,0.175
"1097",0.869526621049106,NA,NA,NA,-0.000902280642800487,NA,NA,1.34599061755549e-06,NA,NA,NA,-1.978465982801e-05,NA,7,14.9010659809423,-11.3221319618846,6.1242691338262,0.00158729037355411,0.085
"3081",0.873947611056848,NA,NA,NA,-0.000926487490635438,NA,NA,NA,NA,NA,NA,-1.93272420218231e-05,-0.00217248956979647,7,14.9007392119684,-11.3214784239367,6.12492267177406,0.001586771781042,0.085
"1289",0.876679961343367,NA,NA,NA,-0.000927700771054938,NA,NA,NA,NA,-1.79157855570769e-05,NA,-1.97957221294301e-05,NA,7,14.8978712766058,-11.3157425532115,6.13065854249926,0.00158222754154606,0.085
"1035",0.877060019946323,NA,3.00859305059442e-06,NA,-0.000926708269372634,NA,NA,NA,NA,NA,NA,-1.99098294857097e-05,NA,7,14.8956286363529,-11.3112572727058,6.13514382300498,0.00157868315025502,0.085
"2306",0.485192435076588,7.70478581354748e-05,NA,NA,NA,NA,NA,NA,NA,-0.000187926034390324,NA,NA,-0.0210860573422723,7,14.8891716435616,-11.2983432871231,6.14805780858768,0.00156852244364098,0.082
"658",0.52191261725775,0.000115902513096434,NA,NA,NA,-0.00012483030707194,NA,NA,0.00104425443058017,NA,-0.000229284552226506,NA,NA,8,16.6422421929261,-11.2844843858522,6.16191670985857,0.00155769101605983,0.174
"1066",0.900835960422398,8.03935554772104e-05,NA,NA,-0.00171953305339702,NA,-0.000192178785307979,NA,NA,NA,NA,-2.06582641160156e-05,NA,8,16.641482632538,-11.2829652650759,6.16343583063487,0.00155650830489419,0.174
