"predictor","p-value","r-squared","slope"
"bio1",0.998,0,"+"
"bio4",0.691,0.005,"+"
"bio5",0.824,0.002,"+"
"bio6",0.832,0.001,"-"
"bio12",0.676,0.006,"-"
"bio15",0.368,0.026,"-"
"bio16",0.686,0.005,"-"
"bio17",0.823,0.002,"-"
"prop_bee_angios",0.596,0.009,"+"
"wind.1",0.53,0.012,"-"
"srad",0.157,0.064,"-"
"et0",0.592,0.009,"-"
