"","Value","Std.Error","t-value","p-value"
"(Intercept)",0.430188892546946,0.0970179210696602,4.43411781868697,0
"tropicaltropical",-0.0647644483237191,0.159326762039363,-0.406488197555402,0.687
"prop_bee_angios",0.401035737191413,0.780671141855707,0.513706368392362,0.611
"tropicaltropical:prop_bee_angios",2.59917348093721,3.40795399797476,0.762678569746488,0.452
