"","Value","Std.Error","t-value","p-value"
"(Intercept)",0.404184165909936,0.109196726642697,3.70143115399848,0.001
"super_biometemperate",-0.0722689197273826,0.156443001891134,-0.461950479431949,0.648
"super_biometropical",0.0176330889566839,0.186883565684359,0.0943533418367334,0.926
"prop_bee_angios",0.390849380040882,0.859335161117601,0.454827636207234,0.653
"super_biometemperate:prop_bee_angios",1.05220323527468,1.41009195692096,0.746194764185624,0.462
"super_biometropical:prop_bee_angios",1.77350614205011,3.95951944396978,0.447909441321498,0.658
