"","Value","Std.Error","t-value","p-value"
"(Intercept)",0.441767369740341,0.179298798350464,2.46386129636433,0.02
"npp",4.28062950829654e-05,0.000955032123968428,0.0448218379347211,0.965
"prop_bee_angios",0.224559890142152,1.4513650215774,0.154723234199272,0.878
"npp:prop_bee_angios",0.000891301129360396,0.00900822827083488,0.0989429999510648,0.922
